Year,Nationality code,Sex,Age group,Immigrant count,Unemployment %,Political and Violence Percentile,Probability of dying young,Rule of Law Percentile,Salaried workers %,GDP_growth,Inflation_annual,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,NIC,Females,All,2114,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Males,0 - 14,67,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Females,15 - 24,481,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,5896,6,12.94,44400000,1,0,0
2008,NIC,Males,15 - 24,205,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,35 - 44,127,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,45 - 54,36,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,55 - 64,5,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,65+,1,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,NIC,Males,All,779,6.2,37.5,7.5,24.04,50.62,3.44,16.2,0.203,America,Central America and Caribbean,0.37,0.26,0,0,0,0,2508,6,12.94,44400000,1,0,0
2008,PAK,Both,0 - 14,1240,0.42,0.96,7.1,18.27,37.16,2.12,10.92,0.226,Asia,Asia,0.28,0.15,297,738,3570,0,47001,6,6.49,44400000,0,0,0
