Year,Nationality code,Sex,Age group,Immigrant count
2009,RUS,Both,0 - 14,1152
2009,RUS,Both,15 - 24,848
2009,RUS,Both,25 - 34,1170
2009,RUS,Both,35 - 44,889
2009,ROU,Males,45 - 54,1515
2009,ROU,Females,25 - 34,4916
2009,ROU,Females,15 - 24,8434
2009,ROU,Females,0 - 14,3220
2009,PRT,Females,All,2924
2009,PRT,Males,0 - 14,433
2009,PRT,Males,15 - 24,742
2009,PRT,Males,25 - 34,1533
2009,PRT,Males,35 - 44,1196
2009,PRT,Males,45 - 54,691
2009,PRT,Males,55 - 64,253
2009,PRT,Males,65+,113
2009,PRT,Males,All,4961
2009,ROU,Both,0 - 14,6407
2009,ROU,Both,15 - 24,14901
2009,ROU,Both,25 - 34,10216
2009,ROU,Both,35 - 44,6456
2009,ROU,Both,45 - 54,3782
2009,ROU,Both,55 - 64,1768
2009,ROU,Both,65+,550
2009,ROU,Both,All,44079
2009,PRT,Females,55 - 64,116
2009,PRY,Males,65+,8
2009,MAR,Females,65+,411
2009,PRY,Males,45 - 54,137
2009,NIC,Females,35 - 44,449
2009,NIC,Females,45 - 54,162
2009,NIC,Females,55 - 64,24
2009,NIC,Females,65+,4
2009,NIC,Females,All,1873
2009,NIC,Males,0 - 14,80
2009,NIC,Males,15 - 24,118
2009,NIC,Females,25 - 34,756
2009,NIC,Males,25 - 34,180
2009,NIC,Males,45 - 54,22
2009,NIC,Males,55 - 64,3
2009,NIC,Males,65+,2
2009,NIC,Males,All,480
2009,PAK,Both,0 - 14,1013
2009,PAK,Both,15 - 24,1730
2009,PAK,Both,25 - 34,2214
2009,NIC,Males,35 - 44,74
2009,NIC,Females,15 - 24,390
2009,NIC,Females,0 - 14,88
2009,NIC,Both,All,2354
2009,RUS,Both,45 - 54,727
2009,MAR,Females,All,21755
2009,MAR,Males,0 - 14,4751
2009,MAR,Males,15 - 24,5410
2009,MAR,Males,25 - 34,6806
2009,MAR,Males,35 - 44,2960
2009,MAR,Males,45 - 54,870
2009,MAR,Males,55 - 64,332
2009,MAR,Males,65+,292
2009,MAR,Males,All,21422
2009,NIC,Both,0 - 14,168
2009,NIC,Both,15 - 24,508
2009,NIC,Both,25 - 34,937
2009,NIC,Both,35 - 44,523
2009,NIC,Both,45 - 54,184
2009,NIC,Both,55 - 64,27
2009,NIC,Both,65+,6
2009,PAK,Both,35 - 44,1093
2009,PRY,Males,55 - 64,25
2009,PAK,Both,45 - 54,323
2009,PAK,Both,65+,10
2009,PRY,Both,45 - 54,646
2009,PRY,Both,55 - 64,203
2009,PRY,Both,65+,51
2009,PRY,Both,All,10765
2009,PRY,Females,0 - 14,585
2009,PRY,Females,15 - 24,2699
2009,PRY,Females,25 - 34,2687
2009,PRY,Both,35 - 44,1409
2009,PRY,Females,35 - 44,1024
2009,PRY,Females,55 - 64,178
2009,PRY,Females,65+,43
2009,PRY,Females,All,7725
2009,PRY,Males,0 - 14,510
2009,PRY,Males,15 - 24,797
2009,PRY,Males,25 - 34,1180
2009,PRY,Males,35 - 44,384
2009,PRY,Females,45 - 54,509
2009,PRY,Both,25 - 34,3867
2009,PRY,Both,15 - 24,3495
2009,PRY,Both,0 - 14,1094
2009,PAK,Both,All,6425
2009,PAK,Females,0 - 14,399
2009,PAK,Females,15 - 24,258
2009,PAK,Females,25 - 34,286
2009,PAK,Females,35 - 44,221
2009,PAK,Females,45 - 54,85
2009,PAK,Females,55 - 64,13
2009,PAK,Females,65+,6
2009,PAK,Females,All,1272
2009,PAK,Males,0 - 14,614
2009,PAK,Males,15 - 24,1472
2009,PAK,Males,25 - 34,1927
2009,PAK,Males,35 - 44,870
2009,PAK,Males,45 - 54,237
2009,PAK,Males,55 - 64,29
2009,PAK,Males,65+,4
2009,PAK,Males,All,5153
2009,PAK,Both,55 - 64,42
2009,RUS,Both,65+,149
2009,UKR,Females,65+,72
2009,RUS,Females,0 - 14,532
2009,GBR,Females,All,8625
2009,GBR,Males,0 - 14,986
2009,GBR,Males,15 - 24,461
2009,GBR,Males,25 - 34,1110
2009,GBR,Males,35 - 44,1395
2009,GBR,Males,45 - 54,1510
2009,GBR,Males,55 - 64,2301
