Year,Nationality code,Unemployment %,Political and Violence Percentile,Probability of dying young,Regulatory Quality Percentile,Rule of Law Percentile,Voice and Accountability Percentile,Salaried workers %,GDP_growth,Inflation_annual
2018,ARG,9.22,47.17,4.7,45.71,46.67,66.02,74.47,-2.62,42.03
2018,BRA,12.33,29.25,7.9,40.48,42.86,59.71,68.1,1.78,4.49
2018,BGR,5.21,61.79,3.1,72.38,50.95,58.74,88.35,2.69,4.23
2018,CHN,4.31,36.32,2.6,44.29,48.57,9.22,53.0,6.75,3.5
2018,COL,9.36,18.87,6.8,62.38,39.05,52.43,48.1,2.56,4.63
2018,CUB,1.7,66.04,2.7,6.19,34.29,9.71,74.58,2.25,1.03
2018,DOM,5.86,47.64,8.4,51.9,40.48,50.49,56.63,6.98,4.12
2018,ECU,3.53,42.45,5.3,16.19,27.14,46.6,49.99,1.29,1.82
2018,FRA,9.02,48.11,1.9,83.81,88.1,86.89,88.35,1.87,0.99
2018,DEU,3.38,64.62,1.5,95.24,91.43,95.15,90.1,0.98,2.01
2018,HND,5.62,28.3,6.3,35.24,15.24,31.07,47.94,3.84,1.95
2018,ITA,10.61,57.08,1.4,75.24,60.0,78.16,77.09,0.93,1.07
2018,MAR,9.73,33.96,3.1,42.86,44.76,29.13,50.38,3.07,0.94
2018,NIC,5.2,14.62,6.1,24.76,13.33,18.45,56.31,-3.36,2.66
2018,PAK,4.08,2.83,6.0,27.62,26.67,25.24,42.96,6.15,3.84
2018,PRY,6.22,44.34,6.6,49.52,30.0,48.54,56.99,3.2,1.96
2018,PER,3.49,37.26,4.3,68.1,31.43,54.37,46.74,3.97,2.28
2018,PRT,6.99,89.15,1.7,79.05,84.29,87.86,83.36,2.85,1.81
2018,ROU,4.19,49.06,2.6,67.14,63.33,65.53,74.78,6.03,6.21
2018,RUS,4.85,27.36,4.9,30.0,20.95,18.93,93.18,2.81,10.0
2018,SEN,3.57,41.98,5.7,46.19,45.71,54.85,32.56,6.21,-0.84
2018,ESP,15.25,56.6,1.3,80.48,80.48,81.55,84.03,2.28,1.25
2018,UKR,8.8,5.66,3.8,43.33,23.81,43.69,83.02,3.49,15.4
2018,GBR,4.0,50.47,1.9,95.71,91.9,93.2,84.87,1.4,1.92
2018,USA,3.9,58.96,4.7,92.86,89.05,80.1,93.72,2.95,2.4
2018,VEN,5.51,9.43,15.7,0.0,0.48,10.19,62.89,-19.7,65374.08
2019,DZA,12.28,13.21,3.2,7.14,20.48,19.81,69.34,1.0,-0.47
2019,ARG,9.84,43.87,4.6,34.76,37.14,65.22,73.49,-2.0,49.2
2019,BRA,11.94,20.75,7.7,49.05,46.67,56.52,67.78,1.22,4.22
2019,BGR,4.23,66.04,3.2,70.48,52.38,58.45,89.18,4.04,5.24
2019,CHN,4.56,38.21,2.5,41.9,44.76,6.76,53.57,5.95,1.29
2019,COL,10.28,14.62,6.9,63.81,40.0,53.62,50.05,3.19,4.0
2019,CUB,1.2,66.98,2.8,5.71,42.38,8.7,74.2,-0.16,3.54
2019,DOM,6.18,47.17,8.3,52.86,43.33,53.14,58.34,5.05,2.53
2019,ECU,3.81,39.15,5.5,20.0,31.9,47.83,48.68,0.01,0.5
2019,FRA,8.41,57.08,1.9,90.95,88.57,85.51,87.91,1.84,1.28
2019,DEU,3.14,65.09,1.5,96.19,92.38,95.17,90.38,1.08,2.13
2019,HND,5.55,24.53,6.2,33.33,14.76,30.43,48.38,2.65,4.13
2019,ITA,9.95,58.96,1.4,77.14,60.48,76.81,77.26,0.48,0.94
2019,MAR,9.67,32.55,3.1,46.67,45.71,29.47,51.44,2.89,0.82
2019,NIC,5.49,14.15,6.0,26.19,9.52,18.36,56.78,-2.9,5.4
2019,PAK,4.83,3.3,6.0,27.14,25.71,22.71,40.27,2.5,9.04
