País de nacimiento;Nacionalidad;Edad;Sexo;Periodo;Total
Total;Francia;De 16 a 24 años;Ambos Sexos;2022;2.739
Total;Francia;De 16 a 24 años;Ambos Sexos;2021;2.858
Total;Francia;De 16 a 24 años;Hombre;2022;1.143
Total;Francia;De 16 a 24 años;Hombre;2021;1.159
Total;Francia;De 16 a 24 años;Mujer;2022;1.596
Total;Francia;De 16 a 24 años;Mujer;2021;1.699
Total;Francia;De 25 a 34 años;Ambos Sexos;2022;3.921
Total;Francia;De 25 a 34 años;Ambos Sexos;2021;3.930
Total;Francia;De 25 a 34 años;Hombre;2022;1.990
Total;Francia;De 25 a 34 años;Hombre;2021;1.989
Total;Francia;De 25 a 34 años;Mujer;2022;1.931
Total;Francia;De 25 a 34 años;Mujer;2021;1.941
Total;Francia;De 35 a 44 años;Ambos Sexos;2022;2.543
Total;Francia;De 35 a 44 años;Ambos Sexos;2021;2.565
Total;Francia;De 35 a 44 años;Hombre;2022;1.414
Total;Francia;De 35 a 44 años;Hombre;2021;1.441
Total;Francia;De 35 a 44 años;Mujer;2022;1.129
Total;Francia;De 35 a 44 años;Mujer;2021;1.124
Total;Francia;De 45 a 54 años;Ambos Sexos;2022;1.891
Total;Francia;De 45 a 54 años;Ambos Sexos;2021;2.201
Total;Francia;De 45 a 54 años;Hombre;2022;1.102
Total;Francia;De 45 a 54 años;Hombre;2021;1.223
Total;Francia;De 45 a 54 años;Mujer;2022;789
Total;Francia;De 45 a 54 años;Mujer;2021;978
Total;Francia;De 55 a 64 años;Ambos Sexos;2022;1.613
Total;Francia;De 55 a 64 años;Ambos Sexos;2021;2.183
Total;Francia;De 55 a 64 años;Hombre;2022;885
Total;Francia;De 55 a 64 años;Hombre;2021;1.198
Total;Francia;De 55 a 64 años;Mujer;2022;728
Total;Francia;De 55 a 64 años;Mujer;2021;985
Total;Francia;De 65 y más años;Ambos Sexos;2022;1.646
Total;Francia;De 65 y más años;Ambos Sexos;2021;2.500
Total;Francia;De 65 y más años;Hombre;2022;875
